Establishment,License Number,Municipality,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
Ahrvt3 Inc.,160700299,Winnebago County,3,1844878.57,1693364.65,151513.92,514111,362596.88,151514.12,45454.55,37878.81,7575.74
AJ & ML Inc.,150703582,Henry County,5,1915731.29,1768333.25,147398.04,610635,463236.81,147398.19,44219.87,36849.91,7369.96
"AJ'S BAR & GRILL, INC.",130701423,Arenzville,2,463974.28,424507.35,39466.93,151316,111848.94,39467.06,11840.2,9866.85,1973.35
"AJ'S PIZZERIA & SPIRITS, LLC",150702109,North Chicago,5,3676775.87,3390894.54,285881.33,1375728,1089846.67,285881.33,85764.94,71470.81,14294.13
"AJ's, LLC",150700614,Round Lake Heights,5,2915867.76,2683421.77,232445.99,939395,706949.01,232445.99,69734.27,58111.91,11622.36
"AJG Industries, Inc.",160700876,Springfield,3,551573.74,496284.22,55289.52,229762,174472.43,55289.57,16587.4,13822.84,2764.56
"Akal, Inc.",150703213,Moline,5,5309720.2,4876416.17,433304.03,1474513,1041208.82,433304.18,129991.96,108326.66,21665.3
"AKMJ ENTERPRISES, INC.",150700444,Freeport,5,3563943.35,3259313.22,304630.13,1189323,884687.2,304635.8,91391.48,76159.58,15231.9
"AKR WINNEBAGO, INC.",180700815,Winnebago County,5,996388.06,928256.03,68132.03,327585,259443.94,68141.06,20442.44,17035.37,3407.07
"Al & Joe's Foods & Liquors, Inc.",120710147,Franklin Park,4,1806661.73,1676257.84,130403.89,514984,384580.47,130403.53,39121.83,32601.53,6520.3
"Al's Bella Vista, Inc.",120709416,La Salle,2,302179.16,291942.89,10236.27,116094,105857.7,10236.3,3071.07,2559.22,511.85
"Al's Place, Inc.",120710503,Sullivan,5,698477.29,643290.44,55186.85,216680,161492.89,55187.11,16556.81,13797.34,2759.47
"ALAMO FOODS, INC.",120708004,Chatham,5,2913121.99,2689056.93,224065.06,1033730,809664.93,224065.07,67220.23,56016.87,11203.36
"ALAMO FOODS, INC.",120708006,Springfield,5,2247174.58,2091015.69,156158.89,690110,533951.11,156158.89,46848.08,39040.07,7808.01
ALAN MYERS,140704064,Bartonville,5,3419656.74,3133617.61,286039.13,1061041,775002.02,286038.98,85812.17,71510.15,14302.02
"Albari, Inc.",150704317,Blue Island,3,345612.55,317590.44,28022.11,139463,111440.76,28022.24,8406.9,7005.74,1401.16
"Albert Parker Post No. 620, The American Legion, Department of Illinois",140902356,Bement,3,481140.5,438558.83,42581.67,131072,88490.33,42581.67,12774.78,10645.66,2129.12
"Albion Browns Post #590 American Legion, Inc.",130905306,Albion,4,663549.38,615774.87,47774.51,155143,107368.49,47774.51,14332.89,11944.07,2388.82
Alc Corp.,140700829,Schiller Park,5,3569035.18,3285441.85,283593.33,932029,648435.67,283593.33,85078.61,70898.85,14179.76
"Alejandra's Mexican Cuisine, Inc.",140700849,Northlake,4,622849.88,569780.24,53069.64,228292,175222.9,53069.1,15920.98,13267.47,2653.51
"Alexander Seven, Inc.",120705208,Romeoville,5,4051426.77,3707839.09,343587.68,1224709,881121.37,343587.63,103077.08,85897.58,17179.5
"ALEXANDER'S RESTAURANT, INC.",130702326,Elgin,2,974306.77,907351.37,66955.4,295629,228673.81,66955.19,20086.78,16738.99,3347.79
"Alfano's Restaurant, LTD.",140701980,Oregon,4,1073547.21,977698.07,95849.14,334235,238385.86,95849.14,28755.24,23962.72,4792.52
"Alfonso & Mau, Inc.",160702101,Beach Park,4,1107063.65,994699.37,112364.28,376320,263955.42,112364.58,33709.92,28091.59,5618.33
Algonquin Commons Co.,170703277,Algonquin,5,255946.79,233989.56,21957.23,99787,77829.72,21957.28,6587.41,5489.51,1097.9
ALGONQUIN SUSHI KING INC.,160702801,Algonquin,5,653714.42,601088.78,52625.64,205682,153056.17,52625.83,15788.06,13156.73,2631.33
ALIBI BAR & GRILL LTD.,150704430,St. Charles,5,15784.38,13549.01,2235.37,6197,3940.96,2256.04,629.37,524.48,104.89
Alice Coloni,120701373,Sesser,4,1459812.26,1354000.16,105812.1,482466,376654.06,105811.94,31744.2,26453.51,5290.69
"ALISHAHAN PIZZA, INC.",170704330,Batavia,5,86814.45,82598.37,4216.08,36875,32657.92,4217.08,1265.16,1054.3,210.86
All American Group LLC,160701558,Petersburg,5,1809649.56,1647347.73,162301.83,542906,380604.17,162301.83,48691.37,40576.16,8115.21
"ALL SOURCE, LLC",170702884,Vermilion County,5,2861254.05,2638507.49,222746.56,973577,750830.44,222746.56,66824.44,55687.07,11137.37
"ALL SPORTS BAR & GRILL, INC.",120706714,McCullom Lake,5,1791225.35,1635387.45,155837.9,620027,464189.1,155837.9,46752.25,38960.22,7792.03
"ALL-INN, INC.",140700568,Morton Grove,5,8633619.75,7956246.76,677372.99,2496728,1819354.81,677373.19,203212.49,169343.76,33868.73
Allan Kuester & Leon Kuester,120700699,Buckley,5,2450410.01,2253735.61,196674.4,752002,555327.6,196674.4,59003.13,49169.31,9833.82
Allen L. Snow,140702863,Minonk,5,1140569.94,1052392.08,88177.86,307536,219358.14,88177.86,26453.62,22044.68,4408.94
Allen's 51 LLC,180700297,Assumption,5,17178.96,16908.69,270.27,7365,7094.02,270.98,81.32,67.77,13.55
"Alley 64, INC.",160702383,St. Charles,5,8537071.14,7917474.56,619596.58,2906152,2286555.21,619596.79,185879.74,154899.79,30979.95
"ALLEY LOOP ENTERPRISES, LTD. ",120709777,Dixon,5,3199495.25,2917535.71,281959.54,940734,658774.55,281959.45,84588.29,70490.27,14098.02
"Alley Oops Diner, LLC",170702643,Abingdon,3,151204.87,140474.54,10730.33,45134,34403.67,10730.33,3219.19,2682.65,536.54
"Allgeyer, LLC",170704137,Alexis,3,353305.28,317909.18,35396.1,116267,80870.73,35396.27,10619.03,8849.19,1769.84
ALONSO LLC,150702720,Waukegan,5,3076268.44,2821510.75,254757.69,1075980,821222.31,254757.69,76427.95,63689.99,12737.96
Alorton Crossings L.L.C.,170702047,Alorton,5,1291231.68,1179026.74,112204.94,461960,349755.06,112204.94,33661.85,28051.56,5610.29
"Aloste, Inc.",120704411,Chicago Heights,5,3973827.69,3600814.81,373012.88,1399888,1026874.9,373013.1,111904.55,93253.78,18650.77
"AlphaBravo, LLC",120703137,East Peoria,5,2310131.35,2122573.55,187557.8,731040,543482.24,187557.76,56268.15,46890.13,9378.02
ALRET LLC,170703416,Thomson,4,282060.96,261137.01,20923.95,95219,74295.05,20923.95,6277.57,5231.32,1046.25
"Alsip Memorial V.F.W. Post 450, Inc.",120907757,Alsip,5,4508907.3,4144771.04,364136.26,1484249,1120112.74,364136.26,109241.66,91034.75,18206.91
"ALSIP RESTAURANT AND LOUNGE, INC.",130700172,Alsip,5,5936766.32,5467296.42,469469.9,1885879,1416408.92,469470.08,140841.62,117368.04,23473.58
Alton KG Management LLC,150701239,Alton,3,870670.09,801402.72,69267.37,255467,186199.78,69267.22,20780.63,17317.2,3463.43
"Alton Lodge No. 951, Loyal Order of Moose",120801982,Godfrey,5,3436730.35,3195982.64,240747.71,958910,718162.35,240747.65,72224.8,60187.38,12037.42
Alton Motorboat Club,120707317,Jersey County,3,409588.49,377572.26,32016.23,117103,85086.77,32016.23,9605.12,8004.25,1600.87
Alton Owls' Club,120713090,Alton,5,1255161.3,1162487.22,92674.08,318854,226179.92,92674.08,27802.57,23168.83,4633.74
Alton Post #126 American Legion,120911002,Alton,2,367435.8,334485.82,32949.98,111562,78612.02,32949.98,9885.29,8237.75,1647.54
"Alton Post 1308, Veterans of Foreign Wars of the United States",120901471,Alton,5,2829454.26,2638869.3,190584.96,679841,489255.8,190585.2,57176.19,47646.85,9529.34
Alton Truck Stop LLC,140702039,Alton,5,7148727.21,6576199.33,572527.88,2219624,1647096.05,572527.95,171759.04,143132.56,28626.48
"Alton-Wood River Sportsmen's Club, Inc.",120701458,Godfrey,5,1232958.48,1118035.68,114922.8,413342,298419.11,114922.89,34477.47,28731.24,5746.23
"ALTUR3, INC.",120702072,Machesney Park,5,2014203.44,1857804.56,156398.88,657376,500977.22,156398.78,46920.28,39100.24,7820.04
"Alva Courier Post #487, The American Legion",120906055,Chester,5,3141679.1,2915445.5,226233.6,847300,621066.4,226233.6,67870.59,56558.84,11311.75
"Alvarez Tacos, Inc.",130704850,Cherry Valley,5,1217894.48,1101633.59,116260.89,344181,227920.1,116260.9,34878.68,29065.58,5813.1
"ALVM, INC.",150703796,Crest Hill,4,1152680.41,1070019.63,82660.78,361147,278486.22,82660.78,24798.55,20665.49,4133.06
"Alwans Place, LLC",160701767,East Peoria,1,940828.2,866378.39,74449.81,387305,312835.91,74469.09,22340.98,18617.52,3723.46
Aly Anne's LLC,150702034,Pontiac,5,4312754.37,3973656.89,339097.48,1347853,1008755.52,339097.48,101730.12,84775.08,16955.04
Aly Anne's LLC,170700340,Dwight,5,1771283.36,1612932.5,158350.86,604267,445916.14,158350.86,47505.86,39588.24,7917.62
AMANDA AND NICHOLAS HACKWITH,170701023,Divernon,1,14804.21,13353.64,1450.57,5103,3652.43,1450.57,435.15,362.63,72.52
AMANDA J SCHMITT LLC,160700569,O'Fallon,3,3005637.05,2780080.28,225556.77,819068,593511.23,225556.77,67667.25,56389.38,11277.87
"AMB Buffet, Inc.",130705916,Machesney Park,3,617750.59,564769.06,52981.53,204360,151378.47,52981.53,15894.64,13245.54,2649.1
Amber Lee Knutson,170703191,La Salle County,3,448168.44,420006.74,28161.7,148849,120687.27,28161.73,8448.64,7040.55,1408.09
"Ambraw Post No. 2244, Veterans Of Foreign Wars of the United States",120902098,Lawrenceville,5,3188209.35,2988757.13,199452.22,832575,633112.88,199462.12,59839.3,49866.1,9973.2
Ambraw River Eagles 4475,170801123,Newton,4,1046546.61,957267.16,89279.45,361069,271782.11,89286.89,26786.56,22322.16,4464.4
AMERICA'S BAR & GRILL LLC,140703956,Hoffman Estates,4,1918961.69,1759187.29,159774.4,585144,425369.6,159774.4,47932.69,39943.93,7988.76
"American Gas & Food Ent Inc.,",150702633,Wadsworth,5,4164887.39,3822245.6,342641.79,1521558,1178916.21,342641.79,102793.1,85660.93,17132.17
American Hungarian Family Society,150700683,Bloomington,5,1475363.46,1347423.25,127940.21,477312,349371.5,127940.5,38383.02,31985.85,6397.17
American Italian Cultural Society,120706951,Crest Hill,3,75853.35,70958.55,4894.8,28966,24071.2,4894.8,1468.44,1223.7,244.74
"American Legion Clarence V. Scheel Post No. 292 of Mascoutah, Illinois",120906386,Mascoutah,5,2887063.59,2666689,220374.59,804335,583960.41,220374.59,66113.06,55094.26,11018.8
"American Legion Club of Flora, Illinois",120713107,Flora,5,1823823.38,1657525.62,166297.76,554837,388539.29,166297.71,49889.76,41574.82,8314.94
"American Legion Club of Louisville, Illinois",180701412,Louisville,5,56313,53034.47,3278.53,16299,13020.47,3278.53,983.6,819.67,163.93
American Legion Elgin Post 57,130901993,Elgin,5,2062938.3,1892124.18,170814.12,669089,498275.03,170813.97,51244.84,42704.05,8540.79
American Legion Herrin's Prairie Post #645,120906680,Herrin,5,3263682.54,3036994.94,226687.6,1037664,810976.39,226687.61,68006.86,56672.38,11334.48
AMERICAN LEGION MCDONOUGH COUNTY POST #6,120903486,Macomb,3,403575.28,359999.94,43575.34,155987,112411.66,43575.34,13072.81,10894.01,2178.8
"American Legion Memorial Association of Thornton, Illinois",120909986,Thornton,5,1734339.36,1607789.74,126549.62,525226,398676.38,126549.62,37965.5,31637.93,6327.57
American Legion Philip Whiteside Post 1961 ,120907755,Orient,5,2720610.92,2503120.58,217490.34,761499,544008.7,217490.3,65247.67,54373.1,10874.57
AMERICAN LEGION POELKER POST NO. 321,120902310,New Baden,4,835504.26,757276.03,78228.23,252314,174085.77,78228.23,23468.89,19557.41,3911.48
American Legion Post #1141,140903841,New Haven,5,2176218.36,2006328.95,169889.41,789471,619581.59,169889.41,50967.36,42472.82,8494.54
American Legion Post #364,120905588,Carrier Mills,4,2459425.91,2297445.91,161980,680066,518086.07,161979.93,48594.32,40495.27,8099.05
American Legion Post #51,120906949,Westville,5,2056433.11,1901018.29,155414.82,608844,453429.18,155414.82,46625.25,38854.42,7770.83
American Legion Post #932,130900584,Sainte Marie,3,473270.33,435840.83,37429.5,155627,118197.5,37429.5,11229.1,9357.61,1871.49
AMERICAN LEGION POST 1198,120905409,Chicago Heights,5,2255580.29,2091255.06,164325.23,743320,578994.77,164325.23,49298.39,41082.01,8216.38
American Legion Post 227,120900363,East Moline,3,1279424.69,1153220.07,126204.62,386087,259882.38,126204.62,37861.81,31551.52,6310.29
American Legion Post 489 Yorkville ,120901989,Kendall County,5,2367958.01,2175326.52,192631.49,756123,563491.61,192631.39,57790.14,48158.47,9631.67
American legion post 71,120900215,Urbana,5,6399424.43,5810930.17,588494.26,2218143,1629381.89,588761.11,176628.85,147190.73,29438.12
"AMERICAN LEGION POST NO. 1231, LAKE IN THE HILLS, ILLINOIS",120907902,Lake In the Hills,4,1061569.26,964583.27,96985.99,365279,268292.96,96986.04,29096.37,24247,4849.37
American Legion Post No. 287 Inc.  ,120904755,Rantoul,3,285810.71,262527.74,23282.97,111302,88019.03,23282.97,6985.03,5820.88,1164.15
"American Legion Post No.100, Inc.",120911008,Tazewell County,2,850137.95,777231.65,72906.3,255413,182506.7,72906.3,21871.96,18226.65,3645.31
"AMERICAN LEGION STEGER POST NO. 521 STEGER, ILLINOIS",120908989,Steger,5,2983256.89,2727577.51,255679.38,932972,677292.62,255679.38,76704.29,63920.27,12784.02
American Legion Stookey Post 1255,120902953,St. Clair County,5,2540710.57,2325838.59,214871.98,729414,514541.68,214872.32,64462.36,53718.65,10743.71
"American Legion Timmerman Benhoff Post 252 Breese, Ill.",120900597,Breese,5,1595343.31,1447710.56,147632.75,538176,390543,147633,44290.38,36908.67,7381.71
American Legion Troy Post No. 708,170903320,Troy,3,264476.57,241041.88,23434.69,98149,74713.21,23435.79,7030.8,5859,1171.8
American Legion Worthey Post 492,160904320,Jerseyville,4,1309972.91,1188063.6,121909.31,375963,254053.65,121909.35,36573.3,30477.78,6095.52
"AMERICAN LEGION, EAST ALTON POST #794",120906952,East Alton,5,1600447.75,1482388.51,118059.24,462660,344600.64,118059.36,35418.61,29515.51,5903.1
"American Legion, Louis E. Davis Post #56, Inc.",150902962,McLean County,3,104558.51,95119.4,9439.11,32331,22891.89,9439.11,2831.8,2359.83,471.97
"American Liquor & Foodmart, LLC",170701056,Princeville,4,1356902.32,1251692.56,105209.76,458173,352963.24,105209.76,31563.25,26302.74,5260.51
American Lombardi Society,130705384,Rockford,5,5728231.78,5248286.99,479944.79,1917945,1438000.07,479944.93,143984.28,119986.94,23997.34
American Luxemburger Independent Club ,120713093,Aurora,5,3058455.45,2821452.24,237003.21,854739,617735.9,237003.1,71101.56,59251.32,11850.24
Americas Check Cashing & Liquor Store LLC,160704057,Litchfield,3,420144.16,386242.97,33901.19,108125,74224.08,33900.92,10170.45,8475.36,1695.09
"AMF Bowling Centers, Inc.",120707827,Springfield,5,1394547.62,1295353.39,99194.23,474770,375575.52,99194.48,29758.76,24798.95,4959.81
"AMF Bowling Centers, Inc.",120707904,Lyons,5,1321357.77,1200098.91,121258.86,433466,312207.13,121258.87,36378.49,30315.42,6063.07
Amos Jefferson Co. Inc.,120700415,Sangamon County,5,3047112.74,2785881.39,261231.35,948689,687457.78,261231.22,78369.92,65308.29,13061.63
AMSIA MARKET LLC,160700612,Jerome,5,5326243.72,4841199.11,485044.61,1721577,1236542.47,485034.53,145511.04,121259.24,24251.8
AMVET Paul Towne Memorial Post #169,120912052,North Pekin,4,795096.18,734541.54,60554.64,274136,213581.66,60554.34,18166.86,15139.07,3027.79
Amvets Greater Peoria Post No. 64,120900192,Peoria,5,2448062.47,2252119.92,195942.55,825602,629659.45,195942.55,58783.28,48986.08,9797.2
AMVETS POST # 103,120909532,Aurora,5,2894306.4,2660470.8,233835.6,894017,660181.2,233835.8,70151.08,58459.23,11691.85
Amvets Post #16,150904263,Litchfield,4,668435.06,605536.43,62898.63,155058,92159.12,62898.88,18870.14,15725.15,3144.99
Amvets Post #204 ,120902094,Madison,5,1857403.53,1702928.05,154475.48,593313,438837.52,154475.48,46343.39,38619.49,7723.9
"Amvets, Fisher Post 52 of the Illinois State Department of Amvets, Inc.",150903784,Fisher,3,818109.29,752822.18,65287.11,280299,215011.89,65287.11,19586.5,16322.08,3264.42
Amy Coffman,150701690,Vermont,2,325649.25,294931.92,30717.33,112210,81492.63,30717.37,9215.36,7679.47,1535.89
"Anast Food Service, Inc.",170703296,Elk Grove Village,5,833181.03,761394.65,71786.38,263321,191534.62,71786.38,21536.28,17946.9,3589.38
"ANC Rainbow, Inc.",120710858,Decatur,5,3837076.29,3509262.67,327813.62,1263009,935195.45,327813.55,98344.67,81953.9,16390.77
"ANCHOR BOAT CLUB OF SPRINGFIELD, ILL.",120710859,Springfield,4,1184080.45,1090134.21,93946.24,381114,287167.76,93946.24,28184.18,23486.8,4697.38
Andres H Orozco,120705643,Galesburg,5,2089731.29,1915148.47,174582.82,589389,414806.18,174582.82,52375.39,43646.2,8729.19
ANDREW G YOUNGER,120701995,Whiteside County,5,2953745.95,2716203.36,237542.59,881338,643795.37,237542.63,71263.42,59386.2,11877.22
Andrew Gosney,160700432,Quincy,2,778673.27,730743.81,47929.46,204357,156427.54,47929.46,14378.97,11982.47,2396.5
Andrew Waters,120707913,Monmouth,5,2312462.56,2140885.5,171577.06,786164,614587.08,171576.92,51473.68,42894.74,8578.94
"Andrew's Mart, Inc.",131004484,Meredosia,5,3606511.57,3308269.35,298242.22,1094518,796275.81,298242.19,89473.34,74561.13,14912.21
"Andrew's Mart, Inc.",170702851,Beardstown,5,3257539.42,2995080.71,262458.71,904390,641931.29,262458.71,78738.09,65615.08,13123.01
"ANDY AND SOPHIE'S, INC.",120709797,Joliet,3,1135876.16,1049194.59,86681.57,285964,199282.58,86681.42,26004.53,21670.45,4334.08
"ANDY'S DAM INN, INC.",120700490,Wheeling,4,1362121.43,1262667.48,99453.95,460373,360919.05,99453.95,29836.61,24863.86,4972.75
"ANG RESTAURANT, INC.",150700666,Antioch,5,4183446.89,3857799.41,325647.48,1398607,1072959.58,325647.42,97694.68,81412.26,16282.42
Angel Duffy,140701265,Ottawa,5,1551148.66,1436157.37,114991.29,507138,392146.71,114991.29,34497.78,28748.17,5749.61
Angela Kindhart,170703652,Quincy,3,455221.58,426776.4,28445.18,131628,103145.66,28482.34,8544.82,7120.67,1424.15
Angela Perry,120707640,Sullivan,4,2821646.07,2586431.41,235214.66,808218,573003.34,235214.66,70564.92,58804.13,11760.79
Angela Tepen and Joseph Tepen,180700424,Brussels,3,100013.32,92172.7,7840.62,26673,18832.38,7840.62,2352.23,1960.2,392.03
"Angela's Best Shot, Inc.",160703452,Momence,5,1661181,1499250.52,161930.48,597174,435238.53,161935.47,48581.31,40484.46,8096.85
"Angels In The Outfield, Incorporated",140703631,Belgium,4,975401.14,902877.46,72523.68,290057,217533.57,72523.43,21757.62,18131.35,3626.27
Ani Petros,120711520,Walnut,5,2130911.69,1963883.15,167028.54,782726,615697.56,167028.44,50108.86,41757.4,8351.46
Ani Petros,170700689,Walnut,2,126873.49,115175.01,11698.48,35781,24082.52,11698.48,3509.66,2924.71,584.95
"Ann-Lee Management, Inc.",120701991,Machesney Park,5,4408403.76,3990076.28,418327.48,1428987,1010659.52,418327.48,125498.87,104582.41,20916.46
"Anna Lodge No. 1346, Loyal Order of Moose",120807292,Anna,5,1498506.53,1390177.34,108329.19,468976,360646.63,108329.37,32499.37,27082.8,5416.57
"Anna Maria Pizza, Inc.",160703269,Streator,4,823092.81,765128,57964.81,223113,165148.19,57964.81,17390.32,14491.95,2898.37
Anna's Cafe LLC - Belvidere,160701745,Belvidere,5,5439511.12,5004975.26,434535.86,1682614,1248078.14,434535.86,130361.45,108634.53,21726.92
Anna's Cafe LLC - Cicero,140703121,Cicero,5,8633404.99,7849870.02,783534.97,3083954,2300419.11,783534.89,235061.15,195884.31,39176.84
ANNA'S CAFE LLC - HOFFMAN ESTATES,140703654,Hoffman Estates,5,2971495.33,2737178.86,234316.47,934280,699963.48,234316.52,70295.49,58579.6,11715.89
Anna's Cafe LLC - North Riverside,150703494,North Riverside,5,6666142.92,6115834.21,550308.71,2283578,1733269.29,550308.71,165092.97,137577.51,27515.46
ANNA'S CAFE LLC - NORTHLAKE,150700125,Northlake,5,4564514.65,4214403.74,350110.91,1496516,1146384.69,350131.31,105039.91,87533.32,17506.59
Anna's Cafe Place LLC,130706234,Westchester,5,4829419.55,4392839.06,436580.49,1660509,1223928.36,436580.64,130974.77,109145.67,21829.1
"Anna's Cafe Place, LLC",160700724,Westmont,5,9011908.17,8246665.76,765242.41,2607246,1842003.59,765242.41,229573.18,191311.02,38262.16
"Anna-Jonesboro, Illinois Lodge No. 1641 BPO of Elks of the USA",120805216,Anna,5,2258989.44,2117062.43,141927.01,737378,595450.99,141927.01,42578.62,35482.22,7096.4
ANNABCICERO INC.,160700224,Cicero,5,11165743.2,10224801.88,940941.32,3924111,2983106.34,941004.66,282302.3,235251.96,47050.34
ANNABCICERO2 INC.,160704218,Cicero,5,8865836.32,8112824.08,753012.24,3123194,2370181.76,753012.24,225904.25,188253.53,37650.72
"Anne's Hide-A-Way, LLC",130706096,Naplate,2,295225.2,278102.57,17122.63,85964,68841.37,17122.63,5136.87,4280.75,856.12
"ANNETTE M. HEIMANN,INC.",120706856,Germantown,5,906751.83,828866.2,77885.63,340572,262635.93,77936.07,23381.51,19484.6,3896.91
